**** BEGIN LOGGING AT Thu Nov 11 19:30:53 2010

Nov 11 19:30:53 *	Now talking on #solicont
Nov 11 19:30:54 *	Topic for #solicont is: Minuta de reunion 4 de noviembre: https://github.com/fcodiaz/Solicont/wiki/Noviembre-4-2010 || Funcionalidades pensadas en solicont: http://tinyurl.com/339n7lj || Proxima reunión 11 de noviembre 21 horas GMT-6 en este canal
Nov 11 19:30:54 *	Topic for #solicont set by vostorga!~vostorga@gentoo/developer/vostorga at Tue Nov  9 10:13:07 2010
Nov 11 19:30:54 *	[freenode-info] channel trolls and no channel staff around to help? please check with freenode support: http://freenode.net/faq.shtml#gettinghelp
Nov 11 19:38:15 *	#solicont :You're not channel operator
Nov 11 19:59:59 <fcodiaz>	jovenes
Nov 11 20:00:02 <fcodiaz>	estamos?
Nov 11 20:01:20 <elsimio>	donde?
Nov 11 20:01:31 <fcodiaz>	ya habemos dos
Nov 11 20:01:35 <fcodiaz>	que ondas elsimio 
Nov 11 20:01:41 <elsimio>	nancing
Nov 11 20:01:43 <fcodiaz>	como esta el frio por alla en DC?
Nov 11 20:02:43 <elsimio>	mas o menos pasable
Nov 11 20:03:00 <fcodiaz>	tranquilo
Nov 11 20:03:10 <fcodiaz>	creo que somos los unicos por el momento
Nov 11 20:03:14 <elsimio>	y q vamos a discutir ahora?
Nov 11 20:03:31 <fcodiaz>	la agenda esta en: https://github.com/fcodiaz/Solicont/wiki/Lista-de-reuniones
Nov 11 20:03:41 <fcodiaz>	uno es el documento que vos estabas preparando
Nov 11 20:04:00 <fcodiaz>	otro es el documento que yo estaba preparando para la seleccion del lenguaje
Nov 11 20:04:05 <fcodiaz>	y 3 sobre el diseno de la DB
Nov 11 20:04:10 <elsimio>	ah ok
Nov 11 20:04:39 <fcodiaz>	ya casi 5 minutos y creo que no somos suficientes
Nov 11 20:04:44 <elsimio>	cabal
Nov 11 20:04:49 <elsimio>	sino la damos por nula
Nov 11 20:04:54 <elsimio>	y la podriamos pasar dia martes
Nov 11 20:04:54 <fcodiaz>	no quisiera
Nov 11 20:05:03 <fcodiaz>	pueda ser
Nov 11 20:05:06 <fcodiaz>	demos unos minutos mas
