**** BEGIN LOGGING AT Thu Jan 20 19:51:33 2011

Jan 20 19:51:38 <fdiaz>	saludos jovenes
Jan 20 20:00:08 <fdiaz>	ping elsimio emonge 
Jan 20 20:00:14 <elsimio>	??
Jan 20 20:00:31 <fdiaz>	que ondas elsimio 
Jan 20 20:00:38 <fdiaz>	listo
Jan 20 20:00:39 <elsimio>	aqwui
Jan 20 20:01:09 <elsimio>	creo, si viene otro
Jan 20 20:01:26 <fdiaz>	ok
Jan 20 20:01:41 <fdiaz>	jotamjr, dijo que no podra reunirse sino hasta dentro de unas dos semanas
Jan 20 20:02:11 <fdiaz>	y de cisko no he sabido nada
Jan 20 20:02:24 <elsimio>	andan perdidos
Jan 20 20:02:25 <fdiaz>	creo que seria bueno mandar un correo por medio de la lista para ver en que estamos
Jan 20 20:02:29 <fdiaz>	si eso veo
Jan 20 20:02:39 <fdiaz>	bueno entonces tenes el documento de la DB 
Jan 20 20:02:49 <elsimio>	una foto nomas
Jan 20 20:02:55 <fdiaz>	link?
Jan 20 20:03:17 <elsimio>	no lo he subido a ningun sitio, es un pdf veamos como lo subo
Jan 20 20:03:23 <fdiaz>	ok
Jan 20 20:03:30 <fdiaz>	mientras talvez viene alguien
Jan 20 20:03:33 <fdiaz>	o mandalo a la lista
Jan 20 20:03:45 <fdiaz>	o en github
Jan 20 20:04:00 <elsimio>	es q no es formal para subirlo ahi
Jan 20 20:04:09 <elsimio>	perate quiero ver donde lo pongo
Jan 20 20:04:12 <elsimio>	ya se
Jan 20 20:04:22 <fdiaz>	ok
Jan 20 20:10:45 <elsimio>	http://gente.debian.org.sv/~elsimio/solicont_er1.pdf
Jan 20 20:11:02 <fdiaz>	cool
Jan 20 20:11:06 <elsimio>	lo tengo q mejorar y/o pasar aunque sea a DB4Designer
Jan 20 20:11:10 <elsimio>	y poner otras talbas
Jan 20 20:11:31 <elsimio>	ok abrilo y te explico mas o meons
Jan 20 20:11:37 <elsimio>	cada tabla
Jan 20 20:11:57 <fdiaz>	ya
Jan 20 20:11:59 <fdiaz>	listo
Jan 20 20:12:30 <fdiaz>	ya lo tengo abierto
Jan 20 20:13:16 <elsimio>	ok asi ve
Jan 20 20:13:36 <fdiaz>	aja
Jan 20 20:13:49 <elsimio>	perame quiero tener 2 ventanitas abiertas
Jan 20 20:13:52 <fdiaz>	ok
Jan 20 20:15:08 <elsimio>	ok comenzando con la mas facil
Jan 20 20:15:23 <fdiaz>	dale
Jan 20 20:15:27 <fdiaz>	users
Jan 20 20:15:31 <elsimio>	la de user, ahi lo que sabemos id, nombre, user, pass, mail, lenguaje por defecto
Jan 20 20:15:41 <elsimio>	si esta baneado, ultimo loggeo
Jan 20 20:15:46 <fdiaz>	ok
Jan 20 20:16:11 <elsimio>	sesiones relacionada con la de usuarios
Jan 20 20:16:31 <elsimio>	una como cookie y la fecha en unix time
Jan 20 20:16:39 <elsimio>	como para tener registros de lso q estan loggeados
Jan 20 20:16:50 <fdiaz>	ok
Jan 20 20:17:33 <elsimio>	como supuestamente en un sistema contable no todos tienen que tener acceso a todo
Jan 20 20:17:39 <elsimio>	necesitamos tener roles
Jan 20 20:17:44 <elsimio>	y mas aun si lo queremos multiempresa
Jan 20 20:18:07 <fdiaz>	definitivamente
Jan 20 20:18:08 <elsimio>	entonces en la de roles algo como un id unico de rol
Jan 20 20:18:15 <elsimio>	el nombre del rol
