**** BEGIN LOGGING AT Tue Nov 23 19:56:21 2010

Nov 23 19:58:03 <fcodiaz>	ping all
Nov 23 20:00:56 <jotamjr>	pong
Nov 23 20:02:17 <fcodiaz>	hey
Nov 23 20:02:20 <fcodiaz>	saludos jotamjr 
Nov 23 20:02:26 <fcodiaz>	siempre puntual eh!
Nov 23 20:02:43 <fcodiaz>	quienes mas estamos?
Nov 23 20:02:58 <jotamjr>	jaja
Nov 23 20:03:30 <jotamjr>	ya en unos 5-10 van a caer
Nov 23 20:03:55 <jotamjr>	fcodiaz: y los lenguajes que no tengan docs aún, que va a pasar con ellos?
Nov 23 20:04:16 <fcodiaz>	no se
Nov 23 20:04:23 <fcodiaz>	creo que debe ser desicion de todos que hacemos
Nov 23 20:04:37 <fcodiaz>	creo que debemos acordar un metodo de seleccion 
Nov 23 20:04:45 <fcodiaz>	y no descartar aquellos que no presentaron
Nov 23 20:05:17 <fcodiaz>	como te va con el arduino jotamjr ?
Nov 23 20:05:27 <fcodiaz>	mientras hacemos tiempo que aparezcan mas
Nov 23 20:06:14 <jotamjr>	pues por ahí haciendo unos scripts en perl :)
Nov 23 20:06:26 <fcodiaz>	ya dejaste python
Nov 23 20:06:28 <jotamjr>	el otro chamaco esta haciendo graficas con libmatplot
Nov 23 20:06:33 <fcodiaz>	ok
Nov 23 20:06:35 <jotamjr>	fcodiaz: ergchh
Nov 23 20:06:40 <jotamjr>	siempre se me va :(
Nov 23 20:06:45 <fcodiaz>	y que estan haciendo con el arduino
Nov 23 20:06:46 <jotamjr>	si seguimos con python xD
Nov 23 20:06:51 <jotamjr>	es la costumbre
Nov 23 20:06:55 <fcodiaz>	ah!
Nov 23 20:06:59 <fcodiaz>	no es perl, es python
Nov 23 20:07:14 <fcodiaz>	ping elsimio , emonge 
Nov 23 20:07:15 <jotamjr>	si :S
Nov 23 20:07:18 <fcodiaz>	ok
Nov 23 20:07:44 <fcodiaz>	jotamjr, como crees que seria un buen metodo de seleccion del lenguaje
Nov 23 20:07:49 <fcodiaz>	ahora que tenemos los docs de ellos
Nov 23 20:07:58 <fcodiaz>	los leemos y votamos por el que nos parezca
Nov 23 20:08:09 <jotamjr>	uff pues es un tema dificil
Nov 23 20:08:18 *	fcodiaz cree que en ese caso cada quien votaria por el favorito
Nov 23 20:08:22 <jotamjr>	pero creo que deberíamos de tener criterios de decisión
Nov 23 20:08:32 <fcodiaz>	esa era la idea del documento
Nov 23 20:08:42 <jotamjr>	facilidad, aplicabilidad y escalabilidad
Nov 23 20:08:47 <fcodiaz>	que cada quien se forme el criterio en base a lo que se establecio en el documento
Nov 23 20:09:01 <jotamjr>	si,
Nov 23 20:09:11 <fcodiaz>	y de ahi que votemos, pero que cada quien no puede votar por su lenguaje propuesto
Nov 23 20:09:14 <fcodiaz>	que opinas?
Nov 23 20:09:16 <jotamjr>	ya con los docs se tiene una idea basica de como podría funcionar la cosa
Nov 23 20:09:35 <fcodiaz>	yo creo que si
Nov 23 20:09:38 <jotamjr>	si claro
Nov 23 20:09:46 <fcodiaz>	te parece la idea?
Nov 23 20:09:54 <fcodiaz>	es una opcion
Nov 23 20:09:57 <jotamjr>	si,
Nov 23 20:10:00 <fcodiaz>	otra es que nos pongamos de acuerdo
Nov 23 20:10:04 <jotamjr>	aunque sera rondas de 1 a 1
Nov 23 20:10:07 <fcodiaz>	en base a lo que leimos 
Nov 23 20:10:12 <jotamjr>	o el que tenga mas votos?
Nov 23 20:10:16 <fcodiaz>	asi es
Nov 23 20:10:22 <fcodiaz>	como?
Nov 23 20:10:29 <jotamjr>	uno contra todos
Nov 23 20:10:41 <jotamjr>	el que le gane a mas ese podría ser el idoneo
Nov 23 20:10:55 <fcodiaz>	y votamos todos
Nov 23 20:11:02 <fcodiaz>	por un lenguaje
Nov 23 20:11:08 <jotamjr>	algo así
Nov 23 20:11:16 <fcodiaz>	habra que definir
Nov 23 20:11:28 <fcodiaz>	ok la pregunta, ahora que tenemos el lenguaje (suponiendo que ya lo tenemos)
Nov 23 20:11:31 <fcodiaz>	tenemos la DB
Nov 23 20:11:43 <fcodiaz>	falta trabajar en el diseno
Nov 23 20:11:45 <fcodiaz>	las relaciones
Nov 23 20:11:56 <fcodiaz>	es el punto 3 de la agenda
Nov 23 20:12:20 <fcodiaz>	si es que tenemos quorum
Nov 23 20:12:24 <jotamjr>	ajam
Nov 23 20:13:08 *	CiskoSV (~CiskoSV@190.87.18.20) has joined #solicont
Nov 23 20:13:28 <fcodiaz>	ya le hale la oreja a elsimio en #linux.org.sv
Nov 23 20:13:36 <jotamjr>	jaja si ya vi xD
Nov 23 20:13:40 <fcodiaz>	CiskoSV, saludos
Nov 23 20:13:48 *	CiskoSV saluda
Nov 23 20:13:54 <jotamjr>	CiskoSV: saludos!
Nov 23 20:14:09 <fcodiaz>	por aca la pre-discusion antes de la reunion
Nov 23 20:14:22 <CiskoSV>	jajaj o
Nov 23 20:14:22 <CiskoSV>	k
Nov 23 20:14:42 <fcodiaz>	yo creo que comenzamos con el punto 1 de la agenda
Nov 23 20:14:49 <fcodiaz>	https://github.com/fcodiaz/Solicont/wiki/Agenda-proxima-reunion-y-Lista-de-reuniones-pasadas
Nov 23 20:14:55 <fcodiaz>	agenda ^^^^^^^^
Nov 23 20:15:11 <fcodiaz>	el punto 1 es sobre los documentos para la seleccion del lenguaje a utilizar
Nov 23 20:15:30 <fcodiaz>	ya tenemos documentos de evaluacion para perl, python, php y ruby
Nov 23 20:15:43 <fcodiaz>	creo que el que se esta quedando es Java, algun otro?
Nov 23 20:16:05 <fcodiaz>	pero no por ello creo que debamos excluirlo del sistema de seleccion, que opinan?
Nov 23 20:16:43 <jotamjr>	entonces se optaría por dar mas tiempo?
Nov 23 20:16:49 <fcodiaz>	no, creo
Nov 23 20:17:03 <fcodiaz>	a mi me gustaria definir esto ya para fines del mes
Nov 23 20:17:12 <fcodiaz>	ya tenemos los documentos de 4 lenguajes
Nov 23 20:17:23 <fcodiaz>	la idea ahora seria decidir que dia votamos 
Nov 23 20:17:26 <fcodiaz>	o seleccionamos
Nov 23 20:17:32 <elsimio>	aja
Nov 23 20:17:33 <fcodiaz>	o dedocraticamente nos ponemos de acuerdo
Nov 23 20:17:39 <elsimio>	puta y ya es hora?
Nov 23 20:17:40 <fcodiaz>	y ya no mas vuelta al asunto
Nov 23 20:17:55 *	fcodiaz ve a elsimio perdido en el tiempo y el espacio
Nov 23 20:18:20 <jotamjr>	@_@
Nov 23 20:18:39 <fcodiaz>	asi que para cuando decidimos?
Nov 23 20:18:43 <elsimio>	el q cosa
Nov 23 20:18:48 <fcodiaz>	una vez que hayamos leido los documentos
Nov 23 20:18:53 <fcodiaz>	elsimio, sobre el lenguaje
Nov 23 20:19:03 <fcodiaz>	ya tenemos docs para php, perl, python y ruby
Nov 23 20:19:06 <elsimio>	ya tenemos la base?
Nov 23 20:19:09 <fcodiaz>	ya
Nov 23 20:19:15 <fcodiaz>	postgresql
Nov 23 20:19:27 <fcodiaz>	https://github.com/fcodiaz/Solicont/wiki/Noviembre-18-2010
